"date","series","value"
"2011-01-27","NG_002_MONTH",4.319
"2011-01-28","NG_001_MONTH",4.323
"2011-01-28","NG_002_MONTH",4.34
"2011-01-31","NG_001_MONTH",4.42
"2011-01-31","NG_002_MONTH",4.431
"2011-02-01","NG_001_MONTH",4.347
"2011-02-01","NG_002_MONTH",4.366
"2011-02-02","NG_001_MONTH",4.429
"2011-02-02","NG_002_MONTH",4.445
"2011-02-03","NG_001_MONTH",4.337
"2011-02-03","NG_002_MONTH",4.357
"2011-02-04","NG_001_MONTH",4.31
"2011-02-04","NG_002_MONTH",4.342
"2011-02-07","NG_001_MONTH",4.104
"2011-02-07","NG_002_MONTH",4.14
"2011-02-08","NG_001_MONTH",4.04
"2011-02-08","NG_002_MONTH",4.072
"2011-02-09","NG_001_MONTH",4.044
"2011-02-09","NG_002_MONTH",4.083
"2011-02-10","NG_001_MONTH",3.986
"2011-02-10","NG_002_MONTH",4.037
"2011-02-11","NG_001_MONTH",3.91
"2011-02-11","NG_002_MONTH",3.977
"2011-02-14","NG_001_MONTH",3.925
"2011-02-14","NG_002_MONTH",3.991
"2011-02-15","NG_001_MONTH",3.976
"2011-02-15","NG_002_MONTH",4.03
"2011-02-16","NG_001_MONTH",3.921
"2011-02-16","NG_002_MONTH",3.961
"2011-02-17","NG_001_MONTH",3.868
"2011-02-17","NG_002_MONTH",3.901
"2011-02-18","NG_001_MONTH",3.876
"2011-02-18","NG_002_MONTH",3.906
"2011-02-22","NG_001_MONTH",3.867
"2011-02-22","NG_002_MONTH",3.907
"2011-02-23","NG_001_MONTH",3.9
"2011-02-23","NG_002_MONTH",3.936
"2011-02-24","NG_001_MONTH",3.793
"2011-02-24","NG_002_MONTH",3.872
"2011-02-25","NG_001_MONTH",4.005
"2011-02-25","NG_002_MONTH",4.073
"2011-02-28","NG_001_MONTH",4.037
"2011-02-28","NG_002_MONTH",4.11
"2011-03-01","NG_001_MONTH",3.873
"2011-03-01","NG_002_MONTH",3.95
"2011-03-02","NG_001_MONTH",3.818
"2011-03-02","NG_002_MONTH",3.894
"2011-03-03","NG_001_MONTH",3.778
"2011-03-03","NG_002_MONTH",3.859
"2011-03-04","NG_001_MONTH",3.809
"2011-03-04","NG_002_MONTH",3.887
"2011-03-07","NG_001_MONTH",3.927
"2011-03-07","NG_002_MONTH",3.984
"2011-03-08","NG_001_MONTH",3.864
"2011-03-08","NG_002_MONTH",3.924
"2011-03-09","NG_001_MONTH",3.93
"2011-03-09","NG_002_MONTH",3.986
"2011-03-10","NG_001_MONTH",3.83
"2011-03-10","NG_002_MONTH",3.892
"2011-03-11","NG_001_MONTH",3.889
"2011-03-11","NG_002_MONTH",3.945
"2011-03-14","NG_001_MONTH",3.914
"2011-03-14","NG_002_MONTH",3.976
"2011-03-15","NG_001_MONTH",3.941
"2011-03-15","NG_002_MONTH",4.012
"2011-03-16","NG_001_MONTH",3.938
"2011-03-16","NG_002_MONTH",4.01
"2011-03-17","NG_001_MONTH",4.158
"2011-03-17","NG_002_MONTH",4.234
"2011-03-18","NG_001_MONTH",4.168
"2011-03-18","NG_002_MONTH",4.246
"2011-03-21","NG_001_MONTH",4.161
"2011-03-21","NG_002_MONTH",4.241
"2011-03-22","NG_001_MONTH",4.254
"2011-03-22","NG_002_MONTH",4.331
"2011-03-23","NG_001_MONTH",4.335
"2011-03-23","NG_002_MONTH",4.412
"2011-03-24","NG_001_MONTH",4.244
"2011-03-24","NG_002_MONTH",4.327
"2011-03-25","NG_001_MONTH",4.403
"2011-03-25","NG_002_MONTH",4.49
"2011-03-28","NG_001_MONTH",4.374
"2011-03-28","NG_002_MONTH",4.448
"2011-03-29","NG_001_MONTH",4.24
"2011-03-29","NG_002_MONTH",4.263
"2011-03-30","NG_001_MONTH",4.355
"2011-03-30","NG_002_MONTH",4.426
"2011-03-31","NG_001_MONTH",4.389
"2011-03-31","NG_002_MONTH",4.458
"2011-04-01","NG_001_MONTH",4.362
"2011-04-01","NG_002_MONTH",4.437
"2011-04-04","NG_001_MONTH",4.289
"2011-04-04","NG_002_MONTH",4.363
"2011-04-05","NG_001_MONTH",4.231
"2011-04-05","NG_002_MONTH",4.304
"2011-04-06","NG_001_MONTH",4.146
"2011-04-06","NG_002_MONTH",4.22
"2011-04-07","NG_001_MONTH",4.057
"2011-04-07","NG_002_MONTH",4.126
"2011-04-08","NG_001_MONTH",4.041
"2011-04-08","NG_002_MONTH",4.107
"2011-04-11","NG_001_MONTH",4.108
"2011-04-11","NG_002_MONTH",4.176
"2011-04-12","NG_001_MONTH",4.098
"2011-04-12","NG_002_MONTH",4.168
"2011-04-13","NG_001_MONTH",4.141
"2011-04-13","NG_002_MONTH",4.206
"2011-04-14","NG_001_MONTH",4.212
"2011-04-14","NG_002_MONTH",4.269
"2011-04-15","NG_001_MONTH",4.204
"2011-04-15","NG_002_MONTH",4.264
"2011-04-18","NG_001_MONTH",4.138
"2011-04-18","NG_002_MONTH",4.19
"2011-04-19","NG_001_MONTH",4.262
"2011-04-19","NG_002_MONTH",4.31
"2011-04-20","NG_001_MONTH",4.31
"2011-04-20","NG_002_MONTH",4.357
"2011-04-21","NG_001_MONTH",4.412
"2011-04-21","NG_002_MONTH",4.466
"2011-04-25","NG_001_MONTH",4.389
"2011-04-25","NG_002_MONTH",4.452
"2011-04-26","NG_001_MONTH",4.387
"2011-04-26","NG_002_MONTH",4.444
"2011-04-27","NG_001_MONTH",4.377
"2011-04-27","NG_002_MONTH",4.408
"2011-04-28","NG_001_MONTH",4.571
"2011-04-28","NG_002_MONTH",4.633
"2011-04-29","NG_001_MONTH",4.698
"2011-04-29","NG_002_MONTH",4.761
"2011-05-02","NG_001_MONTH",4.693
"2011-05-02","NG_002_MONTH",4.763
"2011-05-03","NG_001_MONTH",4.67
"2011-05-03","NG_002_MONTH",4.738
"2011-05-04","NG_001_MONTH",4.577
"2011-05-04","NG_002_MONTH",4.644
"2011-05-05","NG_001_MONTH",4.261
"2011-05-05","NG_002_MONTH",4.331
"2011-05-06","NG_001_MONTH",4.235
"2011-05-06","NG_002_MONTH",4.297
"2011-05-09","NG_001_MONTH",4.154
"2011-05-09","NG_002_MONTH",4.216
"2011-05-10","NG_001_MONTH",4.246
"2011-05-10","NG_002_MONTH",4.303
"2011-05-11","NG_001_MONTH",4.181
"2011-05-11","NG_002_MONTH",4.241
"2011-05-12","NG_001_MONTH",4.194
"2011-05-12","NG_002_MONTH",4.256
"2011-05-13","NG_001_MONTH",4.246
"2011-05-13","NG_002_MONTH",4.311
"2011-05-16","NG_001_MONTH",4.318
"2011-05-16","NG_002_MONTH",4.379
"2011-05-17","NG_001_MONTH",4.182
